Study Id,Reviewer,Did the study avoid inappropriate exclusions?,"","",Did the study avoid inappropriate exclusions? for All outcomes,"","",Was a case control design avoided?,"","",Was a case-control design avoided?,"","",Was a consecutive or random sample of participants enrolled?,"","",Was a consecutive or random sample of patients enrolled?,"","",Was the comparator blood pressure device used the same way for all patients?,"","",Was the interval between CNAP and comparator BP measurement devices the same for all patients and repeated measurements,"","",Was the interval between CNAP and comparator BP measurement devices the same for all patients and repeated measurements?,"","",Were CNAP results being interpreted without knowledge of the results of the comparator?,"","",Were CNAP results being interpreted without knowledge of the results of the comparator? for All outcomes,"","",Were all patients included in the analysis?,"","",Were comparator blood pressure results interpreted without knowledge of CNAP measurements?,"","",Were repeated measurements taken into account in the Bland-Altman analysis?,"","",Were the CNAP device measurements performed accurately?,"","",Were the comparator measures performed accurately?,"","",What was the overall risk of bias associated with the conduct of interpretation of comparator blood pressure measurements?,"","",What was the overall risk of bias associated with the conduct or interpretation of CNAP results?,"","",What was the overall risk of bias associated with the participant flow?,"","",What was the overall risk of bias associated with the selection of participants?,"","",What was the overall risk of bias associated with the selection of participants? for All outcomes,"",""
Martina 2014,Aaron,"","","",low,"","","","","",low,"","","","","",unclear,"","",low,"","","","","",low,"","","","","",low,"","",low,"","",low,"","",high,"","",low,"The netherlands) (Figure 1). 10,11 <b>noninvasive arterial pressure is based on a brachial recon- 
struction from the finger arterial pressure measured by the fin- 
ger cuff. To obtain nAP, an appropriate finger cuff size was 
applied to the mid-phalanx of a finger of the hand on the side 
of the invasive measurements. To compensate for hydrostatic 
errors due to level differences between the finger and the heart, 
the heart reference system of the nexfin monitor was used. The 
finger side of the heart reference system was fixated next to the 
measurement finger and the heart side at the arterial pressure 
transducer level. 12 In the first minute of measurement, the posi- 
tions of the finger cuff and pressure transducer were checked 
for possible level errors and signal quality, and if necessary, 
readjusted. If no nAP signal could be obtained, the cuff was 
switched to another finger and nAP measurement was reiniti- 
ated. noninvasive arterial pressure is periodically calibrated by 
the Physiocal algorithm. 13 During these short calibrations, nAP 
is temporarily interrupted for two (or more if required) beats. 
The analog signals of nAP and IAP were sampled at 200 hz 
and stored on a hard disk. For each patient recording, 600 sec- 
onds periods of matched nAP and IAP values were selected.</b> Systolic pressure (SYS), diastolic pressure","
",low,"","",low,"","",low,"","",low,"","","","","",unclear,"",""
Martina 2014,Navpreet,"","","",unclear,"","","","","",low,"","","","","",unclear,"","",low,"","","","","",low,"Systolic pressure (SYS), diastolic pressure (DIA), mean arterial pressure (MAP), and pulse pressure (PP) values were deter- mined for subsections of 2 seconds (since pulsatility may or may not be present in the blood pressure) of the IAP and nAP recordings, resulting in 300 consecutive datasets per patient.","
","","","",low,"Simultaneously, noninvasive arterial pres- sure (nAP) was measured beat-to-beat by the nexfin monitor","
",low,"II and 1 hVAD). Thus, <b>data of 29 patients were available for analysis 
(93% success rate).</b> The ranges of IAP were","
",low,"(or more if required) beats. <b>The analog signals of nAP and IAP were sampled at 200 hz 
and stored on a hard disk. For each patient recording, 600 sec- 
onds periods of matched nAP and IAP values were selected.</b> Systolic pressure (SYS), diastolic pressure","
",high,"MARTINA et Al. of the <b>300 nAP-IAP differences of each patient represent the 
vertical coordinate in the Bland–Altman plot</b> where the SD were measures","
",low,"obtain nAP, an appropriate finger cuff size was applied to the mid-phalanx of a finger of the hand on the side of the invasive measurements.","
",low,"To avoid inadequate invasive arterial blood pressure wave shape, the invasive arterial catheter was peri- odically flushed.","
",low,"","",low,"","",low,"","","","","",unclear,"",""
Martina 2014,Consensus,"","","","","","","","","",low,"","","","","",unclear,"","",low,"","","","","",low,"Systolic pressure (SYS), diastolic pressure (DIA), mean arterial pressure (MAP), and pulse pressure (PP) values were deter- mined for subsections of 2 seconds (since pulsatility may or may not be present in the blood pressure) of the IAP and nAP recordings, resulting in 300 consecutive datasets per patient.","
","","","",low,"Simultaneously, noninvasive arterial pres- sure (nAP) was measured beat-to-beat by the nexfin monitor","
",low,"II and 1 hVAD). Thus, <b>data of 29 patients were available for analysis 
(93% success rate).</b> The ranges of IAP were","
",low,"(or more if required) beats. <b>The analog signals of nAP and IAP were sampled at 200 hz 
and stored on a hard disk. For each patient recording, 600 sec- 
onds periods of matched nAP and IAP values were selected.</b> Systolic pressure (SYS), diastolic pressure","
",high,"MARTINA et Al. of the <b>300 nAP-IAP differences of each patient represent the 
vertical coordinate in the Bland–Altman plot</b> where the SD were measures","
",low,"The netherlands) (Figure 1). 10,11 <b>noninvasive arterial pressure is based on a brachial recon- 
struction from the finger arterial pressure measured by the fin- 
ger cuff. To obtain nAP, an appropriate finger cuff size was 
applied to the mid-phalanx of a finger of the hand on the side 
of the invasive measurements. To compensate for hydrostatic 
errors due to level differences between the finger and the heart, 
the heart reference system of the nexfin monitor was used. The 
finger side of the heart reference system was fixated next to the 
measurement finger and the heart side at the arterial pressure 
transducer level. 12 In the first minute of measurement, the posi- 
tions of the finger cuff and pressure transducer were checked 
for possible level errors and signal quality, and if necessary, 
readjusted. If no nAP signal could be obtained, the cuff was 
switched to another finger and nAP measurement was reiniti- 
ated. noninvasive arterial pressure is periodically calibrated by 
the Physiocal algorithm. 13 During these short calibrations, nAP 
is temporarily interrupted for two (or more if required) beats. 
The analog signals of nAP and IAP were sampled at 200 hz 
and stored on a hard disk. For each patient recording, 600 sec- 
onds periods of matched nAP and IAP values were selected.</b> Systolic pressure (SYS), diastolic pressure","
",low,"To avoid inadequate invasive arterial blood pressure wave shape, the invasive arterial catheter was peri- odically flushed.","
",low,"","",low,"","",low,"","","","","",unclear,"",""
Ameloot 2014,Aaron,"","","",low,"were included in this study. <b>Inclusion criteria were 

hemodynamic instability with need for continuous hemodynamic monitoring.</b> The severity of critical illness","
","","","",low,"","","","","",unclear,"Methods Study population <b>47 critically ill patients that were admitted to the intensive care unit of the Ziekenhuis 

Netwerk Antwerpen (ZNA) Stuivenberg Hospital in Antwerp, Belgium between August 

2010 and November 2010 were included in this study.</b> Inclusion criteria were hemodynamic instability","
",low,"","","","","",low,"","","","","",high,"During the 8­hour study period, mean blood pressures were recorded continuously via Nexfin (MAP nex ) and PiCCO (MAP fem ) and registered by hand every 2 hours (0­2­4­6­8 hr., in total 3 x 225 paired measurements).","
",low,"",2 patients excluded due to inability to measure Nexfin,high,"","",low,"","Although there was no mention in the statistical analysis section about how repeated measures were accounted for in the analysis, we can tell from the plot (Figure 1 - panel B) that there are only 45 data points (not 225).",low,"","",low,"","",high,"","",high,"","",low,"","","","","",low,"",""
Ameloot 2014,Navpreet,"","","",low,We found in a mix of medical­surgical­burns ICU patients,"
","","","",low,"",Not case control,"","","",low,"Methods Study population <b>47 critically ill patients that were admitted to the intensive care unit of the Ziekenhuis 

Netwerk Antwerpen (ZNA) Stuivenberg Hospital in Antwerp, Belgium between August 

2010 and November 2010 were included in this study. Inclusion</b> criteria were hemodynamic instability with","
",low,"","","","","",low,"","","","","",low,"During the 8­hour study period, mean blood pressures were recorded continuously via Nexfin (MAP nex ) and PiCCO (MAP fem ) and registered by hand every 2 hours (0­2­4­6­8 hr., in total 3 x 225 paired measurements).","
",low,In 2 patients (4.3%) it was impossible to obtain Nexfin ® values from any of 10 fingers and they were therefore excluded from final analysis.,"
",low,"During the 8­hour study period, mean blood pressures were recorded continuously via Nexfin (MAP nex ) and PiCCO (MAP fem ) and registered by hand every 2 hours (0­2­4­6­8 hr., in total 3 x 225 paired measurements).","
",low,"","",low,"Netherlands) is based on the <b>non­invasive measurement of finger arterial pressure by an inflatable cuff around the 

middle phalanx of the finger. The pulsating finger artery is clamped to a constant volume by applying a varying counter pressure equivalent to the arterial pressure using a built­in photoelectric plethysmograph and an automatic algorithm (Physiocal).</b> The resulting finger arterial pressure","
",low,A PiCCO catheter (Pulsiocath PV2015L20) was placed in the left or right femoral artery in all patients.,"
",low,"","",low,"","",low,"","","","","",low,"",""
Ameloot 2014,Consensus,"","","",low,"We found in a mix of medical­surgical­burns ICU patients
were included in this study. <b>Inclusion criteria were 

hemodynamic instability with need for continuous hemodynamic monitoring.</b> The severity of critical illness","

","","","",low,"","","","","",unclear,"Methods Study population <b>47 critically ill patients that were admitted to the intensive care unit of the Ziekenhuis 

Netwerk Antwerpen (ZNA) Stuivenberg Hospital in Antwerp, Belgium between August 

2010 and November 2010 were included in this study. Inclusion</b> criteria were hemodynamic instability with","
",low,"","","","","",low,"","","","","",high,"During the 8­hour study period, mean blood pressures were recorded continuously via Nexfin (MAP nex ) and PiCCO (MAP fem ) and registered by hand every 2 hours (0­2­4­6­8 hr., in total 3 x 225 paired measurements).","
",low,"",2 patients excluded due to inability to measure Nexfin,high,"During the 8­hour study period, mean blood pressures were recorded continuously via Nexfin (MAP nex ) and PiCCO (MAP fem ) and registered by hand every 2 hours (0­2­4­6­8 hr., in total 3 x 225 paired measurements).","
",low,"","Although there was no mention in the statistical analysis section about how repeated measures were accounted for in the analysis, we can tell from the plot (Figure 1 - panel B) that there are only 45 data points (not 225).",low,"Netherlands) is based on the <b>non­invasive measurement of finger arterial pressure by an inflatable cuff around the 

middle phalanx of the finger. The pulsating finger artery is clamped to a constant volume by applying a varying counter pressure equivalent to the arterial pressure using a built­in photoelectric plethysmograph and an automatic algorithm (Physiocal).</b> The resulting finger arterial pressure","
",low,A PiCCO catheter (Pulsiocath PV2015L20) was placed in the left or right femoral artery in all patients.,"
",high,"","",high,"","",low,"","","","","",low,"",""
Ilies 2015,Aaron,"","","",low,"","","","","",low,"","","","","",unclear,Inclusion criteria were patients with American Society of Anaesthesiologists (ASA) physiologi- cal status of III or IV who had a radial arterial catheter and were receiving mechanical ventilation of their lungs.,"
",low,"","","","","",low,"","","","","",low,"After calibration of CNAP, data collection from both devices was started using a laptop computer with software (Datex Ohmeda S5 Collect; GE Healthcare, Helsinki, Finland) that allows the export of systolic arterial pressure, diastolic arterial pressure and MAP (SAP, DAP, MAP) of both devices with a sampling rate of 100 Hz. Automated","
",unclear,"Six patients were excluded, four because of violations of the study protocol regarding the calibration process and two because of data sampling issues. Six patients required radial arterial grafting.","
",low,"","",low,Bland and Altman 26 analysis for repeated measures.,"
",low,"The CIAP catheter and the oscillometric cuff for CNAP calibration were on the ipsilateral arm and the ﬁnger cuffs on the contralateral arm. When the radial artery was taken for coronary artery bypass graft (CABG), the ipsilateral arm was used for CNAP cuffs and CIAP, whereas the calibration cuff was contralateral. The index and middle ﬁnger were used for the ﬁnger cuffs. Measuring time was predeﬁned as 30 min.","
",low,"","",low,"","",low,"","",unclear,"","","","","",unclear,"",""
Ilies 2015,Consensus,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ilies 2015,Navpreet,"","","",low,"mechanical ventilation of their lungs. <b>Exclusion criteria were emergencies, complete heart 
block, age less than 18 years, arterial pressure difference 
more than 10 mmHg between arms and marked oedema</b> of the ﬁngers. Patients were","
","","","",low,"","","","","",unclear,"","",high,"The CIAP catheter and the oscillometric cuff for CNAP calibration were on the ipsilateral arm and the ﬁnger cuffs on the contralateral arm. When the radial artery was taken for coronary artery bypass graft (CABG), the ipsilateral arm was used for CNAP cuffs and CIAP, whereas the calibration cuff was contralateral.","
","","","",low,Measuring time was predeﬁned as 30 min.,"
","","","",low,"Using a MATLAB randomis- ation script, 150 random samples of simultaneous CNAP and CIAP readings from each patient were compared.","
",low,"From 110 enrolled patients, 104 were included.","
",low,"","",high,Agreement of CIAP and CNAP was assessed using Bland and Altman 26 analysis for repeated measures.,"
Fig 1 shows plot of all measurements. ",low,The index and middle ﬁnger were used for the ﬁnger cuffs.,"
",low,"radial arterial catheter (20G, 8 cm; Arrow Intl., Reading, Pennsylvania, USA) and transducer (DPT-6000; CODAN pvb Critical Care GmbH, Forstinning, Germany) were used and the damp- ing coefﬁcient and natural frequency of the system was tested using the fast ﬂush test","
",low,"","",low,"","",low,"","","","","",low,"",""
Langwieser 2015,Aaron,"","","",low,"","","","","",low,"","","","","",unclear,"","",low,"","","","","",low,"The monitor was then connected to a computer with dedicated software that recorded all corresponding AP values beat-to-beat. The simultaneous AP measurements were recorded for three 10 min intervals per patient, resulting in a total of 30 min of AP recordings per patient.","
","","","",low,"","",high,"We enrolled 41 patients in this study. Seven patients were excluded because no valid AP signal could be obtained with radial artery applanation tonometry, two patients withdrew informed consent, and two patients moved excessively during study measurements. Therefore, we ﬁnally analyzed the AP data of 30 patients.","
",low,"","",low,analysis accounting for multiple measurements in one individual to evaluate the accuracy and precision of agreement,"
",low,"For radial artery applanation tonometry, the measurement equipment consisting of the stand-alone T-line TL 200pro monitor, bracelet, locator, wrist splint, and sensor was set up according to the manufacturer’s instructions as descri- bed in detail before","
",low,"","",low,"","",low,"","",high,"","","","","",unclear,"",""
Langwieser 2015,Navpreet,"","","",low,"The presence of a systolic AP difference between both arms greater than 10 mmHg obtained by oscillometry, anatomical abnormalities of the wrist or the radial artery and sensitivity of the patient’s skin to pressure stimuli led to the exclusion of patients from participation in the study.","
","","","",low,"","","","","",unclear,"","",low,"","","","","",low,"The simultaneous AP measurements were recorded for three 10 min intervals per patient, resulting in a total of 30 min of AP recordings per patient.","
","","","",low,"We recorded AP data with the two technologies beat- to-beat. However, instead of comparing AP data pairs on a beat-to-beat basis, we averaged AP data over 10 heart beats and statistically analyzed the resulting averaged 10-beat epochs.","
",high,"We enrolled 41 patients in this study. Seven patients were excluded because no valid AP signal could be obtained with radial artery applanation tonometry, two patients withdrew informed consent, and two patients moved excessively during study measurements. Therefore, we ﬁnally analyzed the AP data of 30 patients.","
",low,"","",high,"","",low,"For radial artery applanation tonometry, the measurement equipment consisting of the stand-alone T-line TL 200pro monitor, bracelet, locator, wrist splint, and sensor was set up according to the manufacturer’s instructions as descri- bed in detail before","
",low,The invasive AP monitoring was checked by performing a fast ﬂush test and adjusting the pressure transducer in the phlebostatic axis,"
",low,"","",low,"","",high,"","","","","",low,"",""
Langwieser 2015,Consensus,"","","",low,"The presence of a systolic AP difference between both arms greater than 10 mmHg obtained by oscillometry, anatomical abnormalities of the wrist or the radial artery and sensitivity of the patient’s skin to pressure stimuli led to the exclusion of patients from participation in the study.","
","","","",low,"","","","","",unclear,"","",low,"","","","","",low,"The monitor was then connected to a computer with dedicated software that recorded all corresponding AP values beat-to-beat. The simultaneous AP measurements were recorded for three 10 min intervals per patient, resulting in a total of 30 min of AP recordings per patient.","
","","","",low,"We recorded AP data with the two technologies beat- to-beat. However, instead of comparing AP data pairs on a beat-to-beat basis, we averaged AP data over 10 heart beats and statistically analyzed the resulting averaged 10-beat epochs.","
",high,"We enrolled 41 patients in this study. Seven patients were excluded because no valid AP signal could be obtained with radial artery applanation tonometry, two patients withdrew informed consent, and two patients moved excessively during study measurements. Therefore, we ﬁnally analyzed the AP data of 30 patients.","
",low,"","",low,analysis accounting for multiple measurements in one individual to evaluate the accuracy and precision of agreement,"
",low,"For radial artery applanation tonometry, the measurement equipment consisting of the stand-alone T-line TL 200pro monitor, bracelet, locator, wrist splint, and sensor was set up according to the manufacturer’s instructions as descri- bed in detail before","
",low,The invasive AP monitoring was checked by performing a fast ﬂush test and adjusting the pressure transducer in the phlebostatic axis,"
",low,"","",low,"","",high,"","","","","",unclear,"",""
Wagner 2015,Aaron,"","","",low,"were eligible for study inclusion. <b>Exclusion criteria were a patient’s age\18 years or 
signiﬁcant ﬁnger edema. Before starting the AP measure- 
ments, oscillometric AP was determined on the right and on 
the left upper arm and only differences of \10 mmHg in 
systolic AP were accepted for study enrollment.</b> In order to preserve realistic","
","","","",low,"","","","","",low,"We prospectively obtained AP data in patients who were treated in the ICU of our university hospital (Klinikum rechts der Isar der Technischen Universita ¨ t Mu ¨ nchen, Munich, Germany) and compared AP measurements ob- tained with the CNAP TM system with invasively assessed AP derived from an arterial catheter (Pulsiocath; Pulsion Medical Systems SE, Feldkirchen, Germany).","
",low,"","","","","",low,"","","","","",low,"Both invasively and noninvasively recorded AP waveforms were displayed on the patient monitor (Datex-Ohmeda S/5 TM Critical Care Monitor and Datex-Ohmeda S/5 TM Compact Critical Care Monitor; GE Healthcare, Helsinki, Finland). The values for systolic, diastolic, and mean AP derived from both methods were collected through a PC serial interface cable into a laptop by using the software S/5 TM Collect (Datex-Ohmeda) and were time synchro- nized for the subsequent data analysis.","
",low,"In total, AP measurements were performed in 57 patients. AP recordings of two patients could not be analyzed due to technical reasons and were therefore excluded.","
",low,"","",low,Altman analysis for repeated measurements in the same subject,"
",low,"were accepted for study enrollment. <b>In order to preserve realistic clinical conditions during study measurements, episodes of AP recordings during interventions like ﬂuid administration or changes in vaso- pressor and antihypertensive therapy were deliberately in- cluded in the analysis. 
For each patient, we analyzed invasive and noninvasive AP measurements simultaneously recorded over a total time period of 15 min (split into three intervals of 5 min) for the present method comparison analysis. 
Calibration of the CNAP TM ﬁnger sensor-derived values to upper arm oscillometric values was performed at the beginning of each 5-min AP measurement interval.</b> 2.2 Patients In total, AP","
",low,"","",low,"","",low,"","",low,"","","","","",low,"",""
Wagner 2015,Navpreet,"","","",low,Exclusion criteria were a patient’s age\18 years or signiﬁcant ﬁnger edema.,"
","","","",low,"","","","","",unclear,"","",low,Patients who were monitored with a catheter placed in the abdominal aorta through the femoral artery,"
","","","",low,"For each patient, we analyzed invasive and noninvasive AP measurements simultaneously recorded over a total time period of 15 min (split into three intervals of 5 min) for the present method comparison analysis.","
","","","",low,"Both invasively and noninvasively recorded AP waveforms were displayed on the patient monitor (Datex-Ohmeda S/5 TM Critical Care Monitor and Datex-Ohmeda S/5 TM Compact Critical Care Monitor; GE Healthcare, Helsinki, Finland). The values for systolic, diastolic, and mean AP derived from both methods were collected through a PC serial interface cable into a laptop by using the software S/5 TM Collect (Datex-Ohmeda) and were time synchro- nized for the subsequent data analysis.","
",low,AP measurements were performed in 57 patients. AP recordings of two patients could not be analyzed due to technical reasons and were therefore excluded.,"
",low,"","",low,Altman analysis for repeated measurements in the same subject,"
",low,Calibration of the CNAP TM ﬁnger sensor-derived values to upper arm oscillometric values was performed at the beginning of each 5-min AP measurement interval.,"
",low,"","",low,"","",low,"","",low,"","","","","",low,"",""
Wagner 2015,Consensus,"","","",low,"were eligible for study inclusion. <b>Exclusion criteria were a patient’s age\18 years or 
signiﬁcant ﬁnger edema. Before starting the AP measure- 
ments, oscillometric AP was determined on the right and on 
the left upper arm and only differences of \10 mmHg in 
systolic AP were accepted for study enrollment.</b> In order to preserve realistic","
","","","",low,"","","","","",low,"We prospectively obtained AP data in patients who were treated in the ICU of our university hospital (Klinikum rechts der Isar der Technischen Universita ¨ t Mu ¨ nchen, Munich, Germany) and compared AP measurements ob- tained with the CNAP TM system with invasively assessed AP derived from an arterial catheter (Pulsiocath; Pulsion Medical Systems SE, Feldkirchen, Germany).","
",low,Patients who were monitored with a catheter placed in the abdominal aorta through the femoral artery,"
","","","",low,"","","","","",low,"Both invasively and noninvasively recorded AP waveforms were displayed on the patient monitor (Datex-Ohmeda S/5 TM Critical Care Monitor and Datex-Ohmeda S/5 TM Compact Critical Care Monitor; GE Healthcare, Helsinki, Finland). The values for systolic, diastolic, and mean AP derived from both methods were collected through a PC serial interface cable into a laptop by using the software S/5 TM Collect (Datex-Ohmeda) and were time synchro- nized for the subsequent data analysis.","
",low,"In total, AP measurements were performed in 57 patients. AP recordings of two patients could not be analyzed due to technical reasons and were therefore excluded.","
",low,"","",low,Altman analysis for repeated measurements in the same subject,"
",low,"were accepted for study enrollment. <b>In order to preserve realistic clinical conditions during study measurements, episodes of AP recordings during interventions like ﬂuid administration or changes in vaso- pressor and antihypertensive therapy were deliberately in- cluded in the analysis. 
For each patient, we analyzed invasive and noninvasive AP measurements simultaneously recorded over a total time period of 15 min (split into three intervals of 5 min) for the present method comparison analysis. 
Calibration of the CNAP TM ﬁnger sensor-derived values to upper arm oscillometric values was performed at the beginning of each 5-min AP measurement interval.</b> 2.2 Patients In total, AP","
",low,"","",low,"","",low,"","",low,"","","","","",low,"",""
Bindra 2016,Aaron,unclear,"",Convenience sample,"","","",low,"","","","","",unclear,"between February and July 2014 <b>as 
part of a larger cohort investigating cerebrovascular 
autoregulation in patients admitted for septic shock, car- 
diac arrest, traumatic brain injury, or ischemic and 
haemorrhagic stroke.</b> The average age was 62.2","
","","","",low,"From our experience, the setup of autoregulation monitoring using NIRS and Finometer at the bedside is simple and quick, making
Care was taken to apply the appropriate ﬁnger cuff size as per the manufacturer’s recommendations.","

","","","",low,"Simultaneously, arterial blood pressure was monitored non-invasively (nABP) using a Finometer photoplethys- mograph (Finometer","
",low,"Data of iABP and rSO 2 were digitally sampled from the bedside monitors (Intellivue MP70, Philips, Nether- lands) and Foresight tissue oximeter, respectively. Analog nABP signals were processed through an ana- log-to-digital converter (DT9804, Data Translation, USA). All data were recorded at 200 Hz by a portable bedside computer using licensed ICM-plus software (ICM-plus, Cambridge University, UK) [6]. Average values of iABP, nABP, rSO 2, iTOx, and nTOx were stored every 30 s.","
","","","",unclear,"19 patients 51 simultaneous measurements (median 2 per patient, range 1–9) of iABP, nABP, and bilateral rSO 2 were performed, resulting in 102 recordings for analysis. Mean recording time was 91 min (range 41–167 min).","
",low,"","",high,"51 simultaneous measurements (median 2 per patient, range 1–9) of iABP,","
no mention of how repeated measures were taken into account",low,"","",low,"","",low,"",recorded all data,low,"","",unclear,"19 patients admitted to the Intensive care unit (ICU) of Liverpool Hospital, New South Wales, Australia, were prospectively studied","
",unclear,"","","","",""
Bindra 2016,Navpreet,unclear,"","","","","",low,"","","","","",unclear,"","","","","",low,"","","","","",low,"Average values of iABP, nABP, rSO 2, iTOx, and nTOx were stored every 30 s.","
",low,"Data of iABP and rSO 2 were digitally sampled from the bedside monitors (Intellivue MP70, Philips, Nether- lands) and Foresight tissue oximeter, respectively. Analog nABP signals were processed through an ana- log-to-digital converter","
","","","",low,"In 19 patients 51 simultaneous measurements (median 2 per patient, range 1–9) of iABP, nABP, and bilateral rSO 2 were performed,","
",low,"","",unclear,"",There was no mention in the statistical analysis section or a figure in the paper about how repeated measures were accounted for in the analysis. ,low,Care was taken to apply the appropriate ﬁnger cuff size as per the manufacturer’s recommendations.,"
",low,"Arterial blood pressure was measured invasively (iABP) with a 20 G radial intra-arterial catheter (Leadercath, Vygon, France) and the transducer","
",low,"","",low,"","",low,"","",unclear,"","","","",""
Bindra 2016,Consensus,unclear,"",Convenience sample,"","","",low,"","","","","",unclear,"between February and July 2014 <b>as 
part of a larger cohort investigating cerebrovascular 
autoregulation in patients admitted for septic shock, car- 
diac arrest, traumatic brain injury, or ischemic and 
haemorrhagic stroke.</b> The average age was 62.2","
","","","",low,"Care was taken to apply the appropriate ﬁnger cuff size as per the manufacturer’s recommendations.
From our experience, the setup of autoregulation monitoring using NIRS and Finometer at the bedside is simple and quick, making","

","","","",low,"Simultaneously, arterial blood pressure was monitored non-invasively (nABP) using a Finometer photoplethys- mograph (Finometer","
",low,"Data of iABP and rSO 2 were digitally sampled from the bedside monitors (Intellivue MP70, Philips, Nether- lands) and Foresight tissue oximeter, respectively. Analog nABP signals were processed through an ana- log-to-digital converter (DT9804, Data Translation, USA). All data were recorded at 200 Hz by a portable bedside computer using licensed ICM-plus software (ICM-plus, Cambridge University, UK) [6]. Average values of iABP, nABP, rSO 2, iTOx, and nTOx were stored every 30 s.","
","","","",unclear,"","",low,"","",high,"51 simultaneous measurements (median 2 per patient, range 1–9) of iABP,","
no mention of how repeated measures were taken into account",low,Care was taken to apply the appropriate ﬁnger cuff size as per the manufacturer’s recommendations.,"
",low,"Arterial blood pressure was measured invasively (iABP) with a 20 G radial intra-arterial catheter (Leadercath, Vygon, France) and the transducer","
",low,"",recorded all data,low,"","",unclear,"19 patients admitted to the Intensive care unit (ICU) of Liverpool Hospital, New South Wales, Australia, were prospectively studied","
",unclear,"","","","",""
Lakhal 2016,Aaron,"","","",low,"","","","","",unclear,"","","","","",unclear,"","",low,"","","","","",low,"","","","","",low,"Blood Pressure reading bias because <b>of the possible variability of the instanta- 
neous displayed value of invasive BP, pairs of intraarterial and 
noninvasive measurements were collected, in real time, from the 
trend database of the monitor rather than from the main screen.</b> Study Protocol First Set of","
",high,"","",low,"","",low,The agreement between intraarterial and noninvasive read- ings of BP was also assessed by Bland-Altman analysis for repeated measurements.,"
",low,"A finger cuff of appropriate size was placed according to the manufacturer’s guidelines and was connected to a Dräger Infinity™ Delta monitor (Dräger Medical Systems, Lübeck, Germany) via the Infinity CNAP Smartpod (Dräger Medical Systems, software version 2.238). On the opposite upper limb, a brachial cuff, also chosen according to manufacturer’s guidelines (after measurement of brachial circumference), was placed 2 cm above the antecubital fossa. The brachial cuff was connected to the Dräger Infinity Delta monitor for oscillometric calibration of CNAP finger cuff measurements","
",low,"An intraarterial radial (ipsilateral to the CNAP finger cuff) or femoral catheter was connected to a pressure transducer (T100209A; Edwards Lifesciences, Irvine, CA), zeroed at the level of the midaxillary line. To","
",low,"","",low,"","",high,"No CNAP finger cuff measurement was displayed in 32 of 218 included patients (15%). Patients with CNAP fail- ure were included earlier in their ICU stay and had more frequent signs of tissular hypoperfusion (more frequently mottling skin, longer capillary refill time) than patients with CNAP detection of BP signal (Table 1). Four patients were excluded (Figure 2). Therefore, 182 patients were analyzed for comparison of 3 noninvasive devices with intraarte- rial measurements (Figure","
","","","",low,"",""
Lakhal 2016,Navpreet,"","","",low,"Patients were not included if they had contraindications for cuff placement, for supine position, or had a difference >5 mm Hg in brachial mean BP between the upper limbs (anatomi- cally induced bias). In case of a cuff inflation–induced increase in heart rate (>5 beats/min) or in mean BP (>5 mm Hg), indi- cating potential measurement-induced pain, cuff inflation was interrupted and the patient was excluded from the","
","","","",low,"","","","","",unclear,Adult patients were included in this prospective study if an arterial line was present and if the BP was stable over 10 minutes (no change in vasoactive drugs dosage and no significant [>10%] variation of mean BP).,"
",high,"",some had femoral catheter and others had radial.,"","","",low,"strict supine position and after flushing the arterial line, 27 3 pairs of intraarterial and noninvasive BP measurements were prospectively collected (at 60-second intervals) with each device in predefined order","
","","","",low,"pairs of intraarterial and noninvasive measurements were collected, in real time, from the trend database of the monitor rather than from the main screen.","
to avoid any investigation bias ",high,No CNAP finger cuff measurement was displayed in 32 of 218 included patients (15%).,"
",low,"","",low,The agreement between intraarterial and noninvasive read- ings of BP was also assessed by Bland-Altman analysis for repeated measurements. 29,"
",low,finger cuff of appropriate size was placed according to the manufacturer’s guidelines and,"
",low,"An intraarterial radial (ipsilateral to the CNAP finger cuff) or femoral catheter was connected to a pressure transducer (T100209A; Edwards Lifesciences, Irvine, CA), zeroed at the level of the midaxillary line.
Measurements were also taken with the automated bra- chial cuff readily available in the participating ICUs:","

",low,"","",low,"","",high,"","","","","",low,"",""
